ID,SMILES,IC50,pIC50,Assay Type,Document ChEMBL ID,Category,Assay Description,Source ID,Source Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code
CHEMBL10872,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccccc2CN1,41,7.39,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,449.64,3.85,active,2
CHEMBL1223815,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)s1,721,6.14,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,356.49,3.73,intermediate,1
CHEMBL1223816,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3CC2CCCCC2)c1,1826,5.74,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,342.48,3.74,inactive,0
CHEMBL1223870,CN(C)C(=O)N[C@H]1CC[C@H](CCN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1,18862,4.72,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,442.6,3.38,inactive,0
CHEMBL1223871,CN(C)C(=O)N[C@H]1CC[C@@H](CN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1,18513,4.73,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,428.58,2.99,inactive,0
CHEMBL1223872,CN(C)C(=O)N[C@H]1CC[C@@H](CCN2[C@@H]3CC[C@H]2C[C@@H](Oc2cccc(C(N)=O)c2)C3)CC1,16334,4.79,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,442.6,3.38,inactive,0
CHEMBL1223873,NC(=O)c1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,10682,4.97,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,336.44,3.36,inactive,0
CHEMBL1223951,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,10681,4.97,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,336.44,3.36,inactive,0
CHEMBL1223952,NC(=O)c1cccc(C[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,3941,5.4,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,334.46,3.77,inactive,0
CHEMBL1223953,NC(=O)c1cccc(C[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,11910,4.92,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,334.46,3.77,inactive,0
CHEMBL1223954,NC(=O)c1cccc(S[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,3077,5.51,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,352.5,4.07,inactive,0
CHEMBL1224065,NC(=O)c1cccc(N[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,17039,4.77,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,335.45,3.39,inactive,0
CHEMBL1224139,NC(=O)c1cc(F)cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,8084,5.09,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,354.43,3.5,inactive,0
CHEMBL1224140,Cc1cc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)cc(C(N)=O)c1,17039,4.77,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.67,inactive,0
CHEMBL1224215,Cc1cc(C(N)=O)ccc1O[C@H]1C[C@H]2CC[C@@H](C1)N2Cc1ccccc1,419,6.38,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.67,intermediate,1
CHEMBL1224216,NC(=O)c1ccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c(F)c1,8188,5.09,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,354.43,3.5,inactive,0
CHEMBL1224288,Oc1cccc(O[C@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)c1,22230,4.65,F,CHEMBL1221377,antagonist,Antagonist activity at human mu opioid receptor expressed in HEK cells assessed as inhibition of DAMGO-induced [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,309.41,3.97,inactive,0
CHEMBL123693,CCCCCC(C)N,14,7.85,F,CHEMBL1132386,antagonist,Antagonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,1999,115.22,1.91,active,2
CHEMBL1254685,C[C@H]1CN(CCC(=O)Nc2ccccc2)[C@@H]2Cc3ccc(O)cc3[C@]1(C)C2,4.8,8.32,F,CHEMBL1250436,agonist,Agonist activity at mu opioid expressed in HEK293 cells assessed as inhibition of forskolin-stimulated cAMP accumulation,1,Scientific Literature,Bioorg Med Chem,2010,364.49,3.95,highly_active,3
CHEMBL1255595,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)o1,10854,4.96,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,340.42,3.26,inactive,0
CHEMBL1257347,Cc1ccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,2698,5.57,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,370.52,4.29,inactive,0
CHEMBL1257348,COc1cccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)c1,1046,5.98,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,380.49,3.93,inactive,0
CHEMBL1257458,Cc1ccc([C@@H](C)N2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cn1,1896,5.72,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,365.48,3.62,inactive,0
CHEMBL1257459,C[C@H](c1ccnc(Cl)c1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,22931,4.64,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,385.89,3.97,inactive,0
CHEMBL1257577,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2cccs2)c1,9359,5.03,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,342.46,3.42,inactive,0
CHEMBL1257578,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)s1,722,6.14,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,356.49,3.73,intermediate,1
CHEMBL1257579,C[C@H](c1ccc(Cl)nc1)N1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,1944,5.71,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,385.89,3.97,inactive,0
CHEMBL1257698,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCc2ccccc2)c1,424,6.37,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.4,intermediate,1
CHEMBL1257820,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CCCc2ccccc2)c1,659,6.18,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,364.49,3.79,intermediate,1
CHEMBL1257821,Cc1ccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)cc1,482,6.32,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.67,intermediate,1
CHEMBL1257937,Cc1cccc(CN2[C@@H]3CC[C@H]2C[C@H](Oc2cccc(C(N)=O)c2)C3)c1,2648,5.58,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.67,inactive,0
CHEMBL1257938,Cc1ccccc1CN1[C@@H]2CC[C@H]1C[C@H](Oc1cccc(C(N)=O)c1)C2,17554,4.76,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,350.46,3.67,inactive,0
CHEMBL1258047,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccncc2)c1,7854,5.11,F,CHEMBL1255514,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,337.42,2.75,inactive,0
