ID,SMILES,Ki,pKi,Assay Type,Target ChEMBL ID,Target Name,Document ChEMBL ID,Assay Description,Source ID,Source Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code,CSK count,Murcko count
CHEMBL101454,O=C1Cc2ccccc2N1C1CCN(C2CCCCCCC2)CC1,30,7.52,B,CHEMBL233,Mu opioid receptor,CHEMBL4428025,Displacement of [3H]DAMGO from recombinant human mu opioid receptor expressed in CHO cell membranes,1,Scientific Literature,J Med Chem,2016,326.48,4.15,active,2,12,3
CHEMBL101519,O=C1/C(=C\c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.9,8.72,B,CHEMBL233,Mu opioid receptor,CHEMBL1127619,Tested for binding activity against mu opioid receptor using [3H]DAMGO ligand,1,Scientific Literature,J Med Chem,1994,429.52,3.22,highly_active,3,14,1
CHEMBL104169,CS[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,1.1,8.96,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,1,Scientific Literature,Bioorg Med Chem Lett,2002,237.37,2.28,highly_active,3,18,18
CHEMBL104200,CC1(C)c2cc(O)ccc2C[C@@H](S)[C@H]1N,163,6.79,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,1,Scientific Literature,Bioorg Med Chem Lett,2002,223.34,1.85,intermediate,1,18,18
CHEMBL106084,CCCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,2148,5.67,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,356.94,5.74,inactive,0,15,15
CHEMBL106155,CCCCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1494,5.83,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,370.97,6.13,inactive,0,15,15
CHEMBL106190,CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,4705,5.33,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,360.9,5.48,inactive,0,15,15
CHEMBL106235,CCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,8067,5.09,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,314.86,4.57,inactive,0,15,15
CHEMBL106366,CCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,6015,5.22,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,328.89,4.96,inactive,0,15,15
CHEMBL106432,CO[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,1.8,8.74,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,1,Scientific Literature,Bioorg Med Chem Lett,2002,221.3,1.57,highly_active,3,18,18
CHEMBL1066,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1,2400,5.62,B,CHEMBL233,Mu opioid receptor,CHEMBL3808393,Displacement of [3H]naloxone from human MOR expressed in CHO-K1 cell membranes after 60 mins by microbeta scintillation counting method,1,Scientific Literature,ACS Med Chem Lett,2016,263.38,2.63,inactive,0,30,7
CHEMBL106758,CCC/N=C(\N)Cc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,13.48,7.87,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,1,Scientific Literature,J Med Chem,2003,512.65,3.88,active,2,29,15
CHEMBL106785,N[C@H](c1cccc(Cl)c1)[C@@H]1CCN1C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,3452,5.46,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,431.79,6.51,inactive,0,15,14
CHEMBL107288,CCCCC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,2248,5.65,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,342.91,5.35,inactive,0,15,15
CHEMBL107334,CC1(C)c2cc(O)ccc2C[C@@H](O)[C@H]1N,204,6.69,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,1,Scientific Literature,Bioorg Med Chem Lett,2002,207.27,0.91,intermediate,1,18,18
CHEMBL107442,CC1(C)c2cc(O)ccc2C[C@@H](S(C)(=O)=O)[C@H]1N,1151,5.94,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,1,Scientific Literature,Bioorg Med Chem Lett,2002,269.37,0.97,inactive,0,18,18
CHEMBL107533,C[S+]([O-])[C@@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,1056,5.98,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,1,Scientific Literature,Bioorg Med Chem Lett,2002,253.37,1.3,inactive,0,18,18
CHEMBL107655,CCCCNC(=O)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,4.8,8.32,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,1,Scientific Literature,J Med Chem,2003,556.71,4.21,highly_active,3,29,15
CHEMBL107737,CC[C@H]1Cc2ccc(O)cc2C(C)(C)[C@@H]1N,135,6.87,B,CHEMBL233,Mu opioid receptor,CHEMBL1134942,Binding affinity for Opioid receptor mu 1,1,Scientific Literature,Bioorg Med Chem Lett,2002,219.33,2.58,intermediate,1,18,18
CHEMBL1079942,CNC(=O)CN1N=C(c2ccccc2)C2(CCN(C3CCC4CCCCC4C3)CC2)C1=O,5.8,8.24,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,436.6,3.42,highly_active,3,13,1
CHEMBL108024,CCCCCCCNC(=O)c1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,61.91,7.21,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,1,Scientific Literature,J Med Chem,2003,555.72,5.27,active,2,29,15
CHEMBL1080484,CNC(=O)Cn1c(=O)n(C2CCN([C@H]3CC[C@H](C(C)C)CC3)CC2)c2ccccc21,30,7.52,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,412.58,3.4,active,2,17,6
CHEMBL1080485,CNC(=O)Cn1c(=O)n(C2CCN([C@H]3CC[C@@H](C(C)C)CC3)CC2)c2ccccc21,69,7.16,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,412.58,3.4,active,2,17,6
CHEMBL1080925,CCCCCCCCCC(=O)Oc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,0.21,9.68,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,1,Scientific Literature,Bioorg Med Chem Lett,2010,465.72,7.59,highly_active,3,35,23
CHEMBL1081093,CCCCCCCCCCOc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,70,7.16,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,1,Scientific Literature,Bioorg Med Chem Lett,2010,451.74,8.06,active,2,35,23
CHEMBL1081192,CNC(=O)CN1Cc2ccccc2N(C2CCN(C3CCC(C(C)C)CC3)CC2)S1(=O)=O,12,7.92,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,462.66,2.98,active,2,10,10
CHEMBL1081250,CCCCCCCCC(O)COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(CC1CCC1)CC3,7.4,8.13,B,CHEMBL233,Mu opioid receptor,CHEMBL1154976,Displacement of [3H]DAMGO from human mu opioid receptor expressed in CHO cell membranes after 60 mins by scintillation counting,1,Scientific Literature,Bioorg Med Chem Lett,2010,467.74,7.04,highly_active,3,35,23
CHEMBL108417,CC(c1ccccc1)N1CC[C@H]1[C@@H](N)c1cccc(Cl)c1,10620,4.97,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,300.83,4.18,inactive,0,15,15
CHEMBL1086749,CNC(=O)Cn1c(=O)n(C2CCN(C3CCCCCCC3)CC2)c2ccccc21,608,6.22,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,398.55,3.3,intermediate,1,12,3
CHEMBL10872,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccccc2CN1,33.1,7.48,B,CHEMBL233,Mu opioid receptor,CHEMBL1145840,Binding affinity towards human cloned Opioid receptor mu 1 using [3H]DAMGO,1,Scientific Literature,J Med Chem,2003,449.64,3.85,active,2,10,8
CHEMBL1087276,CNC(=O)Cn1c(=O)n(C2CCN(C3CCC(C)(C)CC3(C)C)CC2)c2ccccc21,47,7.33,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,426.61,3.79,active,2,17,6
CHEMBL1087532,CNC(=O)Cn1c(=O)n(C2CCN(C3CCC(C)(C)CC3)CC2)c2ccccc21,282,6.55,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,398.55,3.15,intermediate,1,17,6
CHEMBL1087657,CNC(=O)Cn1c(=O)n(C2CCN(C3CCC(C(C)C)CC3)CC2)c2ccccc21,201,6.7,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,412.58,3.4,intermediate,1,17,6
CHEMBL1087658,CNC(=O)Cn1c(=O)n(C2CCN(C3CCC(C(C)(C)C)CC3)CC2)c2ccccc21,77,7.11,B,CHEMBL233,Mu opioid receptor,CHEMBL1154346,Displacement of [3H]diprenorphine from human MOP receptor expressed in CHOK1 cells,1,Scientific Literature,Bioorg Med Chem Lett,2009,426.61,3.79,active,2,17,6
CHEMBL108893,CCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1815,5.74,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,342.91,5.35,inactive,0,15,15
CHEMBL108894,Cc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1F,152,6.82,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,360.48,5,intermediate,1,15,14
CHEMBL108900,CCCCC(c1cc(F)cc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,3975,5.4,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,378.89,5.62,inactive,0,15,15
CHEMBL108904,N[C@@H](c1ccc(Cl)cc1)[C@@H]1CCN1C(c1ccccc1)c1ccccc1,586,6.23,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,362.9,5.2,intermediate,1,15,14
CHEMBL108938,CCCC(=N)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,40.79,7.39,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,1,Scientific Literature,J Med Chem,2003,526.68,4.48,active,2,29,15
CHEMBL108995,CCCCCC(c1ccccc1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1939,5.71,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,356.94,5.74,inactive,0,15,15
CHEMBL1091995,O=CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,420,6.38,B,CHEMBL233,Mu opioid receptor,CHEMBL1156939,Binding affinity to mu opioid receptor,1,Scientific Literature,J Med Chem,2010,299.33,0.72,intermediate,1,46,9
CHEMBL109509,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(Cc2ccc(C(F)(F)F)cc2)CC1,104,6.98,B,CHEMBL233,Mu opioid receptor,CHEMBL1137050,Binding affinity for recombinant human mu-opioid receptor was determined by using [3H]- diprenophine radioligand,1,Scientific Literature,Bioorg Med Chem Lett,2004,437.81,5.86,intermediate,1,29,24
CHEMBL109659,Cc1cc(O)cc(C)c1C[C@H](C)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O,192,6.72,B,CHEMBL233,Mu opioid receptor,CHEMBL1134161,Tested for binding affinity towards Opioid receptor mu 1 in rat and guinea pig brain membrane binding assays,1,Scientific Literature,Bioorg Med Chem Lett,2001,595.74,1.55,intermediate,1,26,26
CHEMBL110126,Cc1ccc([C@H](N)[C@@H]2CCN2C(c2ccccc2)c2ccccc2)cc1,488,6.31,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,342.49,4.86,intermediate,1,15,14
CHEMBL110138,Cc1ccc(C(c2ccc(C)cc2)N2CC[C@H]2[C@H](N)c2cccc(Cl)c2)cc1,801,6.1,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,390.96,5.82,intermediate,1,15,14
CHEMBL110379,CCCCC(c1cccc(F)c1)N1CC[C@H]1[C@H](N)c1cccc(Cl)c1,1599,5.8,B,CHEMBL233,Mu opioid receptor,CHEMBL1134945,Binding affinity at human opioid receptor mu 1 was determined by using [3H]diprenorphine radioligand in CHO cell membranes at a concentration of 0.12 nM,1,Scientific Literature,Bioorg Med Chem Lett,2002,360.9,5.48,inactive,0,15,15
CHEMBL110487,CCCC(=O)NCCc1ccc2[nH]c3c(c2c1)C[C@@]1(O)C2Cc4ccc(O)c5c4[C@@]1(CCN2CC1CC1)[C@H]3O5,30.97,7.51,B,CHEMBL233,Mu opioid receptor,CHEMBL1145106,Ability to displace [3H]DAMGO from human recombinant Opioid receptor mu 1 in CHO cells,1,Scientific Literature,J Med Chem,2003,527.67,4.03,active,2,29,15
