ID,SMILES,IC50,pIC50,Assay Type,Document ChEMBL ID,Category,Category_broad,Assay Description,Source ID,Source Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code,MW,LogP,LogS,nHA,nHD,TPSA,Druglikeness,Molecular_Flexibility,Molecular_Complexity,nHET,nRot,nAro,Globularity_SVD,Globularity_Vol,pc1,pc2,pc3,CSK_frequency,Scaffold_frequency
CHEMBL101454,O=C1Cc2ccccc2N1C1CCN(C2CCCCCCC2)CC1,99,7,F,CHEMBL2385080,agonist,agonist,Agonist activity at human mu opioid receptor transfected in CHO cells assessed as stimulation of [35S]GTPgammaS binding by liquid scintillation counting analysis,1,Scientific Literature,Bioorg Med Chem Lett,2013,326.48,4.15,active,2,326.482,4.5975,-4.284,3,0,23.55,1.227,0.37161,0.77933,3,2,1,0.29139,0.74085,-1.790312509,0.08453775461,-0.03414877615,4,3
CHEMBL102900,O=C1Cc2ccccc2N1C1CCN(C2C3CCCC2CCC3)CC1,29,7.54,F,CHEMBL2385080,agonist,agonist,Agonist activity at human mu opioid receptor transfected in CHO cells assessed as stimulation of [35S]GTPgammaS binding by liquid scintillation counting analysis,1,Scientific Literature,Bioorg Med Chem Lett,2013,338.5,4.01,active,2,338.493,3.7714,-4.42,3,0,23.55,3.7542,0.38783,0.8003,3,2,1,0.33446,0.76282,-1.669264642,0.1361678278,-0.1849170589,1,1
CHEMBL107207,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@@]12CC(=C(C)C)[C@@H]3c1[nH]c3ccccc3c1C2,1016,5.99,F,CHEMBL1145844,agonist,agonist,Effective concentration agonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,2003,440.59,5.45,inactive,0,440.585,5.643,-5.248,4,2,48.49,4.9241,0.15663,1.1057,4,1,3,0.57684,0.74987,-1.358927171,-0.7318504802,-0.319699584,1,1
CHEMBL107420,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@@]12C/C(=C(/C)c1ccccc1)[C@@H]3c1[nH]c3ccccc3c1C2,139,6.86,F,CHEMBL1145844,agonist,agonist,Effective concentration agonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,2003,502.66,6.58,intermediate,1,502.656,6.3734,-6.081,4,2,48.49,5.1371,0.19057,1.1111,4,2,4,0.42802,0.72149,-1.264420929,-1.420830424,-0.3086178463,2,2
CHEMBL1083062,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CS1,120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,482.69,4.7,intermediate,1,482.687,4.7497,-4.929,5,3,98.1,7.1671,0.41639,0.85083,6,6,2,0.31928,0.69167,-0.5486351109,-0.4739512667,0.003148239739,9,1
CHEMBL1083372,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2C[S+]1[O-],120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,498.69,3.71,intermediate,1,498.686,3.4102,-3.846,6,3,109.08,5.2747,0.42053,0.87019,7,6,2,0.38333,0.69684,-0.2629343409,0.3827413734,0.04527775414,1,1
CHEMBL1084529,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@@H]1Cc2ccc(O)cc2CO1,120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,466.62,3.98,intermediate,1,466.62,3.2301,-4.099,6,3,82.03,5.8407,0.44526,0.85083,6,6,2,0.32708,0.6873,-0.4275739455,0.2921026075,0.001508972464,9,1
CHEMBL1085023,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@@H]1CCc2cc(O)ccc2C1,120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,464.65,4.64,intermediate,1,464.648,4.7222,-4.612,5,3,72.8,4.5501,0.42046,0.84784,5,6,2,0.36991,0.69859,-0.7298505,-0.2683361413,0.1206329638,9,1
CHEMBL1085024,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1CCc2cc(O)ccc2C1,120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,464.65,4.64,intermediate,1,464.648,4.7222,-4.612,5,3,72.8,4.5501,0.42061,0.84784,5,6,2,0.32701,0.68922,-0.7298505,-0.2683361413,0.1206329638,9,1
CHEMBL1085025,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccc(O)cc2CO1,120,6.92,F,CHEMBL1155455,agonist,agonist,Agonist activity at human recombinant mu opioid receptor expressed in CHO cells by [35S]GTPgammaS binding assay,1,Scientific Literature,J Med Chem,2010,466.62,3.98,intermediate,1,466.62,3.2301,-4.099,6,3,82.03,5.8407,0.44101,0.85083,6,6,2,0.36548,0.68741,-0.4275739455,0.2921026075,0.001508972464,9,1
CHEMBL108608,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@@]12C/C(=C\c1ccccc1)[C@@H]3c1[nH]c3ccccc3c1C2,44.7,7.35,F,CHEMBL1145844,agonist,agonist,Effective concentration agonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,2003,488.63,6.19,active,2,488.629,6.153,-6.352,4,2,48.49,5.4585,0.18734,1.1026,4,2,4,0.37852,0.71741,-1.247953555,-1.528900773,-0.4089512537,2,2
CHEMBL10872,CC(C)[C@@H](CN1CC[C@@](C)(c2cccc(O)c2)[C@@H](C)C1)NC(=O)[C@H]1Cc2ccccc2CN1,41,7.39,F,CHEMBL1255514,antagonist,antagonist,Antagonist activity at human mu opioid receptor assessed as inhibition of DAMGO-stimulated [35S]GTPgammaS binding,1,Scientific Literature,Bioorg Med Chem Lett,2010,449.64,3.85,active,2,449.637,3.4323,-4.259,5,3,64.6,6.511,0.4554,0.84047,5,6,2,0.3676,0.70773,-0.6459806548,0.1757248374,0.02964718721,9,2
CHEMBL109040,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@]12CCC(=O)[C@H]3/C(=C/c1ccccc1)C2,6.7,8.17,F,CHEMBL1145844,agonist,agonist,Effective concentration agonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,2003,415.53,4.35,highly_active,3,415.531,4.1771,-4.689,4,1,49.77,4.3454,0.21443,1.0841,4,2,2,0.36279,0.74679,-1.291648398,-0.1490892255,-0.2669067659,2,2
CHEMBL110124,COc1ccc2c(c1O)[C@]13CCN(C)C(C2)[C@]12CCC(=O)[C@H]3/C(=C(\C)c1ccccc1)C2,15.2,7.82,F,CHEMBL1145844,agonist,agonist,Effective concentration agonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,2003,429.56,4.74,active,2,429.558,4.3975,-4.418,4,1,49.77,4.0729,0.21851,1.0923,4,2,2,0.36593,0.74648,-1.308115695,-0.04101907433,-0.1665735441,2,2
CHEMBL110461,CN1CC[C@]23c4c5ccc(O)c4O[C@@]2(C)c2[nH]c4ccccc4c2C[C@@]3(C/C=C/c2ccccc2)C1C5,804,6.09,F,CHEMBL1145844,agonist,agonist,Effective concentration agonistic activity towards Opioid receptor mu 1,1,Scientific Literature,J Med Chem,2003,488.63,6.33,intermediate,1,488.629,6.3196,-6.533,4,2,48.49,4.369,0.24532,1.127,4,3,4,0.45302,0.71315,-1.21368843,-1.677178077,-0.3295151009,2,1
CHEMBL112035,CN1CCC23c4c5ccc(O)c4OC2c2n[nH]cc2CC3(O)C1C5,19.26,7.71,F,CHEMBL1131901,agonist,agonist,Agonistic activity against human opioid Mu receptor transfected into Chinese hamster ovary (CHO) cells using [3H]-DAMGO as radioligand,1,Scientific Literature,Bioorg Med Chem Lett,1999,325.37,1.03,active,2,325.367,0.3989,-1.73,6,3,81.61,6.6015,0.17472,1.0718,6,0,2,0.54505,0.81788,-0.6984954531,2.388982304,-0.4473493603,1,1
CHEMBL112656,CN1CCC23c4c5ccc(O)c4OC2c2nc(-c4ccccc4)ncc2CC3(O)C1C5,58.42,7.23,F,CHEMBL1131901,agonist,agonist,Agonistic activity against human opioid Mu receptor transfected into Chinese hamster ovary (CHO) cells using [3H]-DAMGO as radioligand,1,Scientific Literature,Bioorg Med Chem Lett,1999,413.48,2.77,active,2,413.476,2.5851,-4.298,6,2,78.71,5.4697,0.2091,1.0845,6,1,3,0.40073,0.74412,-0.7516294158,0.3888907613,-0.6083646285,1,1
