,ID,SMILES,Ki,pKi,Assay Type,Target ChEMBL ID,Target Name,Document ChEMBL ID,Assay Description,Document Journal,Document Year,Molecular Weight,AlogP,bioactivity,bio_code
0,CHEMBL100574,O=C1Cc2ccccc2N1C1CCN(C(C2CCCCC2)C2CCCCC2)CC1,227,6.64,B,CHEMBL233,Mu opioid receptor,CHEMBL1148282,Binding affinity against human Opioid receptor mu 1 on CHO cell membranes was determined by [3H]DAMGO displacement.,J Med Chem,2004,394.6,5.57,intermediate,1
1,CHEMBL100938,CC1(C)C2CCC(CN3CCC(N4C(=O)Cc5ccccc54)CC3)C1C2,27.8,7.56,B,CHEMBL233,Mu opioid receptor,CHEMBL1148282,Binding affinity against human Opioid receptor mu 1 on CHO cell membranes was determined by [3H]DAMGO displacement.,J Med Chem,2004,352.52,4.11,active,2
2,CHEMBL101118,O=C1Cc2ccccc2N1C1CCN(C2CCCc3ccccc32)CC1,21.2,7.67,B,CHEMBL233,Mu opioid receptor,CHEMBL1148282,Binding affinity against human Opioid receptor mu 1 on CHO cell membranes was determined by [3H]DAMGO displacement.,J Med Chem,2004,346.47,4.12,active,2
3,CHEMBL101454,O=C1Cc2ccccc2N1C1CCN(C2CCCCCCC2)CC1,30,7.52,B,CHEMBL233,Mu opioid receptor,CHEMBL4428025,Displacement of [3H]DAMGO from recombinant human mu opioid receptor expressed in CHO cell membranes,J Med Chem,2016,326.48,4.15,active,2
4,CHEMBL101519,O=C1/C(=C\c2ccccc2)C[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,1.9,8.72,B,CHEMBL233,Mu opioid receptor,CHEMBL1127619,Tested for binding activity against mu opioid receptor using [3H]DAMGO ligand,J Med Chem,1994,429.52,3.22,highly_active,3
5,CHEMBL101676,O=C1Cc2ccccc2N1C1CCN(C2CCc3ccccc3C2)CC1,38.9,7.41,B,CHEMBL233,Mu opioid receptor,CHEMBL1148282,Binding affinity against human Opioid receptor mu 1 on CHO cell membranes was determined by [3H]DAMGO displacement.,J Med Chem,2004,346.47,3.6,active,2
6,CHEMBL10188,CC[C@H](NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,1860,5.73,B,CHEMBL233,Mu opioid receptor,CHEMBL1134438,Binding affinity towards human mu-opioid receptors in CHO (Chinese hamster ovary) cell lines,J Med Chem,2001,382.46,5.49,inactive,0
7,CHEMBL102690,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,3590,5.45,B,CHEMBL233,Mu opioid receptor,CHEMBL1132332,The compound was tested for binding affinity against Opioid receptor mu 1 by using [3H]DAMGO as a radioligand,J Med Chem,1999,722.85,1.96,inactive,0
8,CHEMBL102900,O=C1Cc2ccccc2N1C1CCN(C2C3CCCC2CCC3)CC1,2.7,8.57,B,CHEMBL233,Mu opioid receptor,CHEMBL2385080,Displacement of [3H]DAMGO from human mu opioid receptor transfected in CHO cells,Bioorg Med Chem Lett,2013,338.5,4.01,highly_active,3
9,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,731,6.14,B,CHEMBL233,Mu opioid receptor,CHEMBL1909046,"DRUGMATRIX: Opiate mu (OP3, MOP) radioligand binding (ligand: [3H] Diprenorphine)",,,344.85,5.38,intermediate,1
